Name,Display Name,Type,Class,Is Lot Numbered Item,Inactive,UPC Code,Weight,Item Weight (Kg),Length,Height,Width,Package Quantity,Master Carton Weight (lbs),Master Carton Length (in),Master Carton Width (in),Master Carton Height (in),Master GTIN #,Harmonized Product Code,Manufacturer Country
ES0001-01,"ANC - MILKFLOW, CAPSULES, 60 COUNT, RETAIL CARTON",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,
ES0001-02,"ANC - MILKFLOW, CAPSULES, 100 COUNT, BOTTLE ONLY",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,No,,,,,,,,,,,,,,
ES0001-03,"ANC - MILKFLOW, CAPSULES, 100 COUNT, RETAIL CARTON",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,No,,,,,,,,,,,,,,US
ES0003-01,"ANC - MILKFLOW, NON-FENUGREEK CAPSULES, 60 COUNT, RETAIL CARTON, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,No,,,,,,,,,,,,,,US
ES0005-01,"S&V - UPSPRING, NIPPLE BALM",Inventory Item,Legacy UpSpring : (Old) Breastfeeding,No,Yes,,,,,,,,,,,,,,US
ES0010-01,"MASTUN - WELLBABY, MULTI, 60M",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,
ES0015-01,"MATSUN - WELLBABY, MULTI+IRON, 60ML",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,
ES0015-02,"AQUEOUS LABS - WELLBABY, MULTI+IRON, 60ML",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0015-03,"ABS Corp - UpSpringbaby, MULTI+IRON, 60ML",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0020-01,"MATSUN - UPSPRING D3, VITAMIN DROPS, 20ML, 400IU",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,
ES0025-01,"VRC - UpSpring baby D3 - SHRINK-WRAP, 2-PACK",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,
ES0030-01,"ANC - MILKMULTI POSTNATAL, DRINK MIX, 21 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0035-01,"ANC - MILKFLOW BERRY DRINK MIX, 18 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
