basic_tranId0_searchValue,basic_otherRefNum0_searchValue,customerJoin_entityId0_searchValue,basic_shipMethod0_searchValue_internalId,shippingAddressJoin_addressee0_searchValue,shippingAddressJoin_attention0_searchValue,shippingAddressJoin_address10_searchValue,shippingAddressJoin_address20_searchValue,shippingAddressJoin_city0_searchValue,shippingAddressJoin_state0_searchValue,shippingAddressJoin_zip0_searchValue,shippingAddressJoin_countryCode0_searchValue,shippingAddressJoin_phone0_searchValue,basic_line0_searchValue,itemJoin_itemId0_searchValue,itemJoin_type0_searchValue,basic_quantity0_searchValue,basic_tranDate0_searchValue,classJoin_name0_searchValue,itemJoin_weight0_searchValue,custitem_length,custitem_width,custitem_height,custitem_mcweight_lbs,custitem_rfs_packing_length,custitem_rfs_packing_width,custitem_rfs_packing_height,custitem_hj_tc_autopackquantity,custbodyhj_tc_storecode,basic_tranDate0_searchValue_1,basic_startDate0_searchValue,basic_endDate0_searchValueSpecified
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,1,FG0076-01,Assembly/Bill of Materials,960,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.5,4.625,3.16,6.125,2.46,10.25,10.25,4.75,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,7,FG0076-02,Assembly/Bill of Materials,1280,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.65,4.6,3.1,4.6,4.525,10.25,10.25,5.75,6,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,13,FG0076-03,Assembly/Bill of Materials,1280,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.5,4.625,3.1,6.125,2.4,10.25,10.25,4.75,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,19,FG0660-01,Assembly/Bill of Materials,200,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,0.4,5,2.5,7,1.63,8.25,6.25,5.38,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,22,FG0670-01,Assembly/Bill of Materials,200,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,0.4,5,2.5,7,1.63,8.25,6.25,5.38,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,25,FG0125-04,Assembly/Bill of Materials,120,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow,0.138,2.75,2,4.5,1.1,9.25,4.75,6.5,6,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,32,FG0127-01,Assembly/Bill of Materials,360,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow,0.15,4.5,2.75,2,1,9.25,5.25,4.25,6,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,38,FG0076-01,Assembly/Bill of Materials,96,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.5,4.625,3.16,6.125,2.46,10.25,10.25,4.75,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,47,FG0076-02,Assembly/Bill of Materials,256,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.65,4.6,3.1,4.6,4.525,10.25,10.25,5.75,6,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,53,FG0076-03,Assembly/Bill of Materials,128,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,0.5,4.625,3.1,6.125,2.4,10.25,10.25,4.75,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,59,FG0660-01,Assembly/Bill of Materials,20,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,0.4,5,2.5,7,1.63,8.25,6.25,5.38,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,62,FG0670-01,Assembly/Bill of Materials,20,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,0.4,5,2.5,7,1.63,8.25,6.25,5.38,4,,3/22/24,,
220717,,"An Phuc Nguyen Co., Ltd",,"An Phuc Nguyen Co., Ltd",,13732 Magnolia Street,,Garden Grove,CA,92844,US,(714) 786-6201,65,FG0125-04,Assembly/Bill of Materials,12,Pending Fulfillment,Legacy UpSpring : (Old) Milkflow,0.138,2.75,2,4.5,1.1,9.25,4.75,6.5,6,,3/22/24,,
