PO Number,Load ID,Load Dest,Load Dest Type,Load Dest Address,Load P/U Window Start,Load P/U Window End,MABD,Carrier PU Date,Carrier Due Date,Carrier Name,Industry SCAC,Mode,Ship Point,Loading Method,Cases,Weight,Cube,Pallets,Event Code,PO Type,Department,Confirmed Date,Held/Suspended,PO Dest
2631581872,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/13/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,22,53,6,1,POS REPLEN,33,79,05/16/2024,NO,6006
7681770489,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/13/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,19,28,3,1,POS REPLEN,33,40,05/16/2024,NO,6006
1030506824,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,20,49,6,1,POS REPLEN,33,79,05/16/2024,NO,6011
1331346808,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/01/2024,06/01/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,41,60,7,1,POS REPLEN,33,40,05/16/2024,NO,6040
1381344929,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,50,123,14,1,POS REPLEN,33,79,05/16/2024,NO,7033
1481224974,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,36,85,10,1,POS REPLEN,33,79,05/16/2024,NO,7034
1631623200,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,48,70,8,1,POS REPLEN,33,40,05/16/2024,NO,6035
1680995913,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,29,67,7,1,POS REPLEN,33,79,05/16/2024,NO,6023
1730496879,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,38,92,10,1,POS REPLEN,33,79,05/16/2024,NO,7039
1881553937,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,39,57,6,1,POS REPLEN,33,40,05/16/2024,NO,6030
2031553971,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,47,69,8,1,POS REPLEN,33,40,05/16/2024,NO,6016
2231406933,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,58,6,1,POS REPLEN,33,40,05/16/2024,NO,7033
2281820221,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,48,70,8,1,POS REPLEN,33,40,05/16/2024,NO,6054
2481701949,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,44,64,7,1,POS REPLEN,33,40,05/16/2024,NO,7034
2481770569,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,52,126,14,1,POS REPLEN,33,79,05/16/2024,NO,6025
2531582191,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,32,72,8,1,POS REPLEN,33,79,05/16/2024,NO,6066
2580496750,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,18,45,5,1,POS REPLEN,33,79,05/16/2024,NO,6048
2631354206,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/31/2024,05/31/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,49,120,13,1,POS REPLEN,33,79,05/16/2024,NO,6070
2731484519,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,39,57,6,1,POS REPLEN,33,40,05/16/2024,NO,6038
2930328085,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/31/2024,05/31/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,24,54,6,1,POS REPLEN,33,79,05/16/2024,NO,6010
3131751303,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/03/2024,06/03/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,57,83,9,1,POS REPLEN,33,40,05/16/2024,NO,6024
3181671453,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,53,121,13,1,POS REPLEN,33,79,05/16/2024,NO,6016
3231348113,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,64,93,10,1,POS REPLEN,33,40,05/16/2024,NO,6068
3281582060,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,49,122,13,1,POS REPLEN,33,79,05/16/2024,NO,6019
3381692269,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,69,101,11,1,POS REPLEN,33,40,05/16/2024,NO,6019
3431096039,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/03/2024,06/03/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,31,77,9,1,POS REPLEN,33,79,05/16/2024,NO,6021
3431554439,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,76,111,12,1,POS REPLEN,33,40,05/16/2024,NO,6094
3531554666,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,58,6,1,POS REPLEN,33,40,05/16/2024,NO,6092
3581215374,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,23,59,6,1,POS REPLEN,33,79,05/16/2024,NO,6092
3631502641,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,29,73,8,1,POS REPLEN,33,79,05/16/2024,NO,6012
3631543986,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,45,66,7,1,POS REPLEN,33,40,05/16/2024,NO,6039
3731175696,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,47,121,13,1,POS REPLEN,33,79,05/16/2024,NO,6031
4031433237,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,32,81,9,1,POS REPLEN,33,79,05/16/2024,NO,6020
4031652834,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,36,53,6,1,POS REPLEN,33,40,05/16/2024,NO,6020
4131504224,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/30/2024,05/30/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,45,66,7,1,POS REPLEN,33,40,05/16/2024,NO,7039
4235566384,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,34,90,9,1,POS REPLEN,33,79,05/16/2024,NO,6069
4281025730,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,39,101,11,1,POS REPLEN,33,79,05/16/2024,NO,6018
4381463092,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,59,149,16,1,POS REPLEN,33,79,05/16/2024,NO,6094
4381771102,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/05/2024,06/05/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,44,64,7,1,POS REPLEN,33,40,05/16/2024,NO,6037
4531333367,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/28/2024,05/28/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,37,80,9,1,POS REPLEN,33,79,05/16/2024,NO,6009
4531770941,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,57,83,9,1,POS REPLEN,33,40,05/16/2024,NO,6018
4830219117,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,34,75,9,1,POS REPLEN,33,79,05/16/2024,NO,6038
5281453103,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,26,58,6,1,POS REPLEN,33,79,05/16/2024,NO,7036
5536282614,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/05/2024,06/05/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,56,146,15,1,POS REPLEN,33,79,05/16/2024,NO,6037
5581274669,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,29,72,8,1,POS REPLEN,33,79,05/16/2024,NO,6026
5736373709,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,49,72,8,1,POS REPLEN,33,40,05/16/2024,NO,6069
5781574056,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,45,66,7,1,POS REPLEN,33,40,05/16/2024,NO,6026
5830239157,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/04/2024,06/04/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,32,75,9,1,POS REPLEN,33,79,05/16/2024,NO,6030
5831373770,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/03/2024,06/03/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,30,73,8,1,POS REPLEN,33,79,05/16/2024,NO,6024
5936137105,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,06/02/2024,06/02/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,40,58,6,1,POS REPLEN,33,40,05/16/2024,NO,7035
5981730846,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,34,87,9,1,POS REPLEN,33,79,05/16/2024,NO,6035
6236491150,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,55,138,14,1,POS REPLEN,33,79,05/16/2024,NO,6036
6236521641,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/27/2024,05/27/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,26,38,4,1,POS REPLEN,33,40,05/16/2024,NO,6048
6281721316,77957176,6938,DC,830 E CENTRE PARK BLVD DESOTO TX 75115 US,05/20/2024,05/26/2024,05/26/2024,05/22/2024,05/23/2024,WAL-MART DISP 16,W-6816,FLEET,74328601,FLOOR,48,118,12,1,POS REPLEN,33,79,05/16/2024,NO,6068
