PO Number,Load ID,Internal ID,Cases,Weight,Carrier Name,Industry SCAC,MABD,PO Dest,PO Type,Department
1030506438,77584635,23052895,13,36,WAL-MART DISP 16,W-6816,5/13/24,6011,33,79
1181099708,77584635,23052896,12,18,WAL-MART DISP 16,W-6816,5/14/24,6017,33,40
1331346013,77584635,23052897,2,3,WAL-MART DISP 16,W-6816,5/18/24,6040,33,40
1381039679,77584635,23038895,26,38,WAL-MART DISP 16,W-6816,5/14/24,6006,33,40
1381344370,77584635,23052898,19,48,WAL-MART DISP 16,W-6816,5/16/24,7033,33,79
1481224518,77584635,23052899,9,24,WAL-MART DISP 16,W-6816,5/21/24,7034,33,79
1631622385,77584635,23052995,19,28,WAL-MART DISP 16,W-6816,5/13/24,6035,33,40
1680995505,77584635,23052996,29,81,WAL-MART DISP 16,W-6816,5/21/24,6023,33,79
1730496483,77584635,23052997,9,25,WAL-MART DISP 16,W-6816,5/16/24,7039,33,79
1881553170,77584635,23052998,22,32,WAL-MART DISP 16,W-6816,5/19/24,6030,33,40
2031553222,77584635,23052999,8,12,WAL-MART DISP 16,W-6816,5/12/24,6016,33,40
2231405930,77584635,23053095,3,5,WAL-MART DISP 16,W-6816,5/16/24,7033,33,40
2481701154,77584635,23053096,5,8,WAL-MART DISP 16,W-6816,5/21/24,7034,33,40
2481770131,77584635,23053097,7,19,WAL-MART DISP 16,W-6816,5/14/24,6025,33,79
2531581731,77584635,23053098,13,29,WAL-MART DISP 16,W-6816,5/14/24,6066,33,79
2580496346,77584635,23053099,3,7,WAL-MART DISP 16,W-6816,5/13/24,6048,33,79
2631353717,77584635,23053000,18,53,WAL-MART DISP 16,W-6816,5/17/24,6070,33,79
2631581423,77584635,23038807,21,58,WAL-MART DISP 16,W-6816,5/14/24,6006,33,79
2731483745,77584635,23053002,4,6,WAL-MART DISP 16,W-6816,5/19/24,6038,33,40
2930327665,77584635,23053003,12,32,WAL-MART DISP 16,W-6816,5/17/24,6010,33,79
2981069529,77584635,23053004,20,29,WAL-MART DISP 16,W-6816,5/13/24,6012,33,40
3131750484,77584635,23052900,1,2,WAL-MART DISP 16,W-6816,5/20/24,6024,33,40
3181671021,77584635,23052901,21,56,WAL-MART DISP 16,W-6816,5/12/24,6016,33,79
3231347129,77584635,23052902,30,44,WAL-MART DISP 16,W-6816,5/12/24,6068,33,40
3281581637,77584635,23052903,40,106,WAL-MART DISP 16,W-6816,5/14/24,6019,33,79
3381691447,77584635,23052904,36,53,WAL-MART DISP 16,W-6816,5/14/24,6019,33,40
3431095551,77584635,23053005,25,64,WAL-MART DISP 16,W-6816,5/20/24,6021,33,79
3431553567,77584635,23053006,40,58,WAL-MART DISP 16,W-6816,5/13/24,6094,33,40
3531553750,77584635,23053007,20,29,WAL-MART DISP 16,W-6816,5/14/24,6092,33,40
3581214881,77584635,23053008,22,60,WAL-MART DISP 16,W-6816,5/14/24,6092,33,79
3631502208,77584635,23053009,28,79,WAL-MART DISP 16,W-6816,5/13/24,6012,33,79
3631543234,77584635,23053010,16,24,WAL-MART DISP 16,W-6816,5/14/24,6039,33,40
3731175186,77584635,23053011,17,50,WAL-MART DISP 16,W-6816,5/16/24,6031,33,79
4031432813,77584635,23053012,23,50,WAL-MART DISP 16,W-6816,5/21/24,6020,33,79
4031652015,77584635,23053013,42,61,WAL-MART DISP 16,W-6816,5/21/24,6020,33,40
4131503425,77584635,23053014,13,19,WAL-MART DISP 16,W-6816,5/16/24,7039,33,40
4235565988,77584635,23053100,16,47,WAL-MART DISP 16,W-6816,5/13/24,6069,33,79
4281025306,77584635,23053101,13,32,WAL-MART DISP 16,W-6816,5/13/24,6018,33,79
4381462626,77584635,23053102,21,53,WAL-MART DISP 16,W-6816,5/13/24,6094,33,79
4381770242,77584635,23053103,36,53,WAL-MART DISP 16,W-6816,5/22/24,6037,33,40
