PO Number,Load ID,Cases,Weight,Carrier Name,Industry SCAC,MABD,PO Dest,PO Type,Department
1331346411,77771356,29,43,WAL-MART DISP 16,W-6816,05/25/2024,6040,33,40
1731731248,77771356,11,16,WAL-MART DISP 16,W-6816,05/29/2024,7038,33,40
2631353962,77771356,19,55,WAL-MART DISP 16,W-6816,05/24/2024,6070,33,79
2930327880,77771356,22,55,WAL-MART DISP 16,W-6816,05/24/2024,6010,33,79
3131750889,77771356,26,38,WAL-MART DISP 16,W-6816,05/27/2024,6024,33,40
3431095795,77771356,50,128,WAL-MART DISP 16,W-6816,05/27/2024,6021,33,79
4031433030,77771356,10,29,WAL-MART DISP 16,W-6816,05/28/2024,6020,33,79
4031652437,77771356,19,28,WAL-MART DISP 16,W-6816,05/28/2024,6020,33,40
5581274433,77771356,29,74,WAL-MART DISP 16,W-6816,05/28/2024,6026,33,79
5781573619,77771356,27,40,WAL-MART DISP 16,W-6816,05/28/2024,6026,33,40
5831373541,77771356,29,77,WAL-MART DISP 16,W-6816,05/27/2024,6024,33,79
5936136698,77771356,19,28,WAL-MART DISP 16,W-6816,05/26/2024,7035,33,40
6181472602,77771356,9,24,WAL-MART DISP 16,W-6816,05/29/2024,7038,33,79
6481472626,77771356,20,51,WAL-MART DISP 16,W-6816,05/26/2024,7035,33,79
6781741178,77771356,7,11,WAL-MART DISP 16,W-6816,05/24/2024,6070,33,40
6831690904,77771356,16,44,WAL-MART DISP 16,W-6816,05/25/2024,6040,33,79
6931671141,77771356,12,36,WAL-MART DISP 16,W-6816,05/27/2024,6043,33,79
7381652189,77771356,23,34,WAL-MART DISP 16,W-6816,05/24/2024,6010,33,40
7531770533,77771356,18,27,WAL-MART DISP 16,W-6816,05/27/2024,6021,33,40
7931326513,77771356,19,28,WAL-MART DISP 16,W-6816,05/27/2024,6043,33,40
